actual_required_capacity,reactive_capacity,lagged_capacity,predictive_capacity,forecast_p50,forecast_p90
0.3487104191146233,0.6166105453909663,0.322622367102919,0.4419314927069411,0.3290636339672465,0.4299900947687421
0.3483447706493123,0.6166105453909663,0.3487104191146233,0.4419314927069411,0.3327099167945331,0.43400100587875734
0.34065009390117873,0.6166105453909663,0.3483447706493123,0.4419314927069411,0.32615375428648014,0.4267892271198991
0.30702154072290505,0.6166105453909663,0.34065009390117873,0.4419314927069411,0.3199047782714323,0.4376963756304163
0.32284779777048117,0.6166105453909663,0.30702154072290505,0.4519043586287779,0.3274534127114665,0.4519043586287779
0.317268008066759,0.6166105453909663,0.32284779777048117,0.4519043586287779,0.3314363267149648,0.4461698682290923
0.3135627812660464,0.6166105453909663,0.317268008066759,0.4519043586287779,0.3311832221647244,0.43232164178596777
0.28912809897304126,0.6166105453909663,0.3135627812660464,0.4519043586287779,0.3233113272871453,0.42366255742063075
0.2819358104543519,0.6166105453909663,0.28912809897304126,0.4519043586287779,0.32110104453166205,0.4233002727863748
0.282438772982961,0.6166105453909663,0.2819358104543519,0.3519043586287779,0.31997452373283664,0.41999207351089124
0.2869790773305245,0.6166105453909663,0.282438772982961,0.4271037581444265,0.3264396915815051,0.4271037581444265
0.2684519370479127,0.5166105453909663,0.2869790773305245,0.4271037581444265,0.3159274647443175,0.42557361486792883
0.3034837170681594,0.5166105453909663,0.2684519370479127,0.4271037581444265,0.31780003339900864,0.4176001341436804
0.27638164923590797,0.5166105453909663,0.3034837170681594,0.4271037581444265,0.3168840293400849,0.41659252967886434
0.28544139483976444,0.5166105453909663,0.27638164923590797,0.4271037581444265,0.3111444272151535,0.41027896734143976
0.26060948407780654,0.5166105453909663,0.28544139483976444,0.4271037581444265,0.3129506205553794,0.4122657800156882
0.2578911028485028,0.5166105453909663,0.26060948407780654,0.4271037581444265,0.3032595828381719,0.40555742688193175
0.278432685790521,0.5166105453909663,0.2578911028485028,0.42842194784423954,0.3267816582559901,0.42842194784423954
0.2836578821262794,0.5166105453909663,0.278432685790521,0.42842194784423954,0.31457251169930694,0.41990708200860394
0.25587787600082534,0.5166105453909663,0.2836578821262794,0.4343807704472378,0.3236061580659317,0.4343807704472378
0.24397697058189452,0.5166105453909663,0.25587787600082534,0.4343807704472378,0.30828205918663776,0.41815787178963154
0.23063758670582282,0.4166105453909663,0.24397697058189452,0.3343807704472378,0.3056890147219285,0.4274012402867651
0.24143274795966163,0.4166105453909663,0.23063758670582282,0.42431721146884144,0.32390646733097317,0.42431721146884144
0.24855669901645813,0.4166105453909663,0.24143274795966163,0.42437724364168233,0.3239610420335558,0.42437724364168233
0.25522296609967865,0.4166105453909663,0.24855669901645813,0.42437724364168233,0.3026926831264611,0.404621992381915
0.23505971437127596,0.4166105453909663,0.25522296609967865,0.42437724364168233,0.2942071993844484,0.39164801672766414
0.23311828027185394,0.4166105453909663,0.23505971437127596,0.42437724364168233,0.2822314804410466,0.3787699402768586
0.24216529437229517,0.4166105453909663,0.23311828027185394,0.42437724364168233,0.2684782818832798,0.3832869164498991
0.26981146415085117,0.4166105453909663,0.24216529437229517,0.42437724364168233,0.26783136669088653,0.3837274545016051
0.2909361080890485,0.4166105453909663,0.26981146415085117,0.42437724364168233,0.2696224914195481,0.3753062257902332
0.25721811067447437,0.4166105453909663,0.2909361080890485,0.42437724364168233,0.25471501544688063,0.3482066143963396
0.25513906942817116,0.4166105453909663,0.25721811067447437,0.42437724364168233,0.253975877215154,0.34739356234144037
0.27447284651193,0.4166105453909663,0.25513906942817116,0.3243772436416823,0.26271045430767265,0.35700159714321084
0.30158390383912353,0.4166105453909663,0.27447284651193,0.3696966518252891,0.27425141310956197,0.3696966518252891
0.35876484685934584,0.5166105453909663,0.30158390383912353,0.3696966518252891,0.2689119265261212,0.36382321658350425
0.5121887502171906,0.6166105453909663,0.35876484685934584,0.3696966518252891,0.2673466830341763,0.36210144874236483
0.4810699905525093,0.6166105453909663,0.4587648468593458,0.3696966518252891,0.2674935799857008,0.36226303538904175
0.35959442919513074,0.6166105453909663,0.4810699905525093,0.3722156036924511,0.2765413693524365,0.3722156036924511
0.3496853244384172,0.6166105453909663,0.38106999055250934,0.3722156036924511,0.2756098574241823,0.37119094057137153
0.36961569307964637,0.6166105453909663,0.3496853244384172,0.4722156036924511,0.33593262706634686,0.47399285045886397
0.3441008162098836,0.6166105453909663,0.36961569307964637,0.48736112423518807,0.3812191153003792,0.48736112423518807
0.3248721781255193,0.6166105453909663,0.3441008162098836,0.48736112423518807,0.378956462954919,0.4848722066551819
0.30152800473369573,0.6166105453909663,0.3248721781255193,0.48736112423518807,0.368070805577893,0.47289798354045326
0.3680162445932568,0.6166105453909663,0.30152800473369573,0.48736112423518807,0.37531578131465404,0.4808674568508904
0.354362970107713,0.6166105453909663,0.3680162445932568,0.48736112423518807,0.3804850961459381,0.4865537031653029
