cohort_label,app_du,metric,predictive_minus_reactive,load_weight
broad,app_4483,over_provisioning,-11.049627272193113,227.92226012731476
broad,app_4483,scaling_actions,220.0,227.92226012731476
broad,app_4483,sla_violation,0.0,227.92226012731476
broad,app_4483,average_capacity,-1.4541359861354692,227.92226012731476
broad,app_459,over_provisioning,-3.202628434914393,90.95101574074005
broad,app_459,scaling_actions,302.0,90.95101574074005
broad,app_459,sla_violation,0.021033653846153903,90.95101574074005
broad,app_459,average_capacity,-1.6135430822140755,90.95101574074005
broad,app_460,over_provisioning,-5.574579446820305,53.71530688657377
broad,app_460,scaling_actions,517.0,53.71530688657377
broad,app_460,sla_violation,0.0030048076923077007,53.71530688657377
broad,app_460,average_capacity,-3.383000939804081,53.71530688657377
broad,app_4619,over_provisioning,-1.5087839153597375,103.651905092592
broad,app_4619,scaling_actions,307.0,103.651905092592
broad,app_4619,sla_violation,0.009014423076923003,103.651905092592
broad,app_4619,average_capacity,0.6018016684022562,103.651905092592
broad,app_4650,over_provisioning,-20.454343324530974,967.8286354166662
broad,app_4650,scaling_actions,35.0,967.8286354166662
broad,app_4650,sla_violation,0.0048076923076923,967.8286354166662
broad,app_4650,average_capacity,-0.018085133277310206,967.8286354166662
broad,app_4799,over_provisioning,5.207196985890253,195.81934085648152
broad,app_4799,scaling_actions,143.0,195.81934085648152
broad,app_4799,sla_violation,-0.0012019230769231004,195.81934085648152
broad,app_4799,average_capacity,9.364613773090987,195.81934085648152
broad,app_4812,over_provisioning,-26.280341207318543,327.4897838541669
broad,app_4812,scaling_actions,353.0,327.4897838541669
broad,app_4812,sla_violation,0.0018028846153846,327.4897838541669
broad,app_4812,average_capacity,-12.056533539508365,327.4897838541669
broad,app_4832,over_provisioning,15.564179389571379,587.1175180555546
broad,app_4832,scaling_actions,30.0,587.1175180555546
broad,app_4832,sla_violation,0.004807692307692301,587.1175180555546
broad,app_4832,average_capacity,39.38004684698586,587.1175180555546
broad,app_484,over_provisioning,-4.520467815953321,125.05973177083295
broad,app_484,scaling_actions,214.0,125.05973177083295
broad,app_484,sla_violation,0.015024038461538505,125.05973177083295
broad,app_484,average_capacity,0.2928733111675186,125.05973177083295
broad,app_498,over_provisioning,-22.774430534121752,321.58314120370466
broad,app_498,scaling_actions,198.0,321.58314120370466
broad,app_498,sla_violation,0.0006009615384615,321.58314120370466
broad,app_498,average_capacity,-10.092486015057858,321.58314120370466
broad,app_5029,over_provisioning,-17.748471340725537,737.0133773148149
broad,app_5029,scaling_actions,115.0,737.0133773148149
broad,app_5029,sla_violation,-0.0018028846153846,737.0133773148149
broad,app_5029,average_capacity,-1.9853812465748888,737.0133773148149
broad,app_5035,over_provisioning,-13.700517120912071,381.6926950231485
