minute_index,app_du,active_container_count,service_cpu_utilization_mean,service_memory_utilization_mean,service_cpu_used_cores_proxy,service_cpu_request_cores_total,mean_container_mem_size,service_sample_count,service_cpu_utilization_weighted,imputed
1537,app_141,185.0,16.213963963963966,99.07117117117117,239.96666666666667,1480.0,3.13,259,16.213963963963966,0
1538,app_141,194.0,15.97766323024055,98.70360824742268,247.97333333333333,1552.0,3.1300000000000003,253,15.97766323024055,0
1539,app_141,198.0,16.75462962962963,99.10858585858585,265.3933333333333,1584.0,3.13,259,16.75462962962963,0
1540,app_141,209.0,17.0737639553429,98.585326953748,285.47333333333336,1672.0,3.13,269,17.073763955342905,0
1541,app_141,207.0,16.5,99.02495974235106,273.24,1656.0,3.13,283,16.5,0
1542,app_141,196.0,15.570578231292517,99.10331632653062,244.14666666666668,1568.0,3.13,260,15.570578231292517,0
1543,app_141,194.0,15.818728522336771,99.15678694158076,245.50666666666666,1552.0,3.1300000000000003,271,15.818728522336768,0
1544,app_141,181.0,15.417587476979744,99.1648250460405,223.24666666666667,1448.0,3.13,258,15.417587476979744,0
1545,app_141,169.0,16.082347140039445,98.61932938856016,217.43333333333334,1352.0,3.1300000000000003,240,16.082347140039445,0
1546,app_141,181.0,15.456261510128915,98.65239410681399,223.80666666666667,1448.0,3.13,254,15.456261510128915,0
1547,app_141,176.0,15.624053030303031,99.0714962121212,219.98666666666668,1408.0,3.13,245,15.624053030303031,0
1548,app_141,189.0,14.977954144620812,99.15696649029984,226.46666666666667,1512.0,3.1299999999999994,251,14.977954144620812,0
1549,app_141,164.0,15.039888211382113,98.59857723577235,197.32333333333335,1312.0,3.1299999999999994,225,15.039888211382115,0
1550,app_141,171.0,15.572612085769979,99.12865497076024,213.03333333333333,1368.0,3.13,236,15.572612085769979,0
1551,app_141,183.0,15.508196721311476,98.71174863387978,227.04,1464.0,3.13,249,15.508196721311476,0
1552,app_141,196.0,15.50170068027211,99.13690476190476,243.06666666666666,1568.0,3.13,262,15.50170068027211,0
1553,app_141,203.0,14.909277504105091,98.69499178981937,242.12666666666667,1624.0,3.13,266,14.909277504105091,0
1554,app_141,180.0,15.051851851851852,98.66666666666667,216.74666666666667,1440.0,3.13,264,15.051851851851852,0
1555,app_141,164.0,14.747967479674795,98.64888211382113,193.49333333333334,1312.0,3.1299999999999994,214,14.747967479674799,0
1556,app_141,173.0,15.753853564547205,98.66570327552988,218.03333333333333,1384.0,3.13,238,15.753853564547205,0
1557,app_141,154.0,16.457792207792206,98.60119047619048,202.76,1232.0,3.13,208,16.457792207792206,0
1558,app_141,126.0,15.658730158730158,99.23809523809524,157.84,1008.0,3.13,185,15.658730158730158,0
1559,app_141,181.0,15.052946593001842,99.24309392265194,217.96666666666667,1448.0,3.13,257,15.052946593001842,0
1560,app_141,181.0,16.009208103130753,98.73756906077348,231.81333333333333,1448.0,3.13,252,16.009208103130753,0
1561,app_141,178.0,16.27059925093633,99.18398876404494,231.69333333333333,1424.0,3.13,257,16.27059925093633,0
1562,app_141,168.0,16.573908730158728,98.59722222222221,222.75333333333333,1344.0,3.1300000000000003,249,16.573908730158728,0
1563,app_141,167.0,16.246007984031937,99.21706586826348,217.04666666666668,1336.0,3.1300000000000003,223,16.246007984031937,0
1564,app_141,179.0,16.796554934823092,99.19832402234637,240.52666666666667,1432.0,3.13,238,16.796554934823092,0
1565,app_141,169.0,16.748027613412226,99.23323471400396,226.43333333333334,1352.0,3.1300000000000003,236,16.748027613412226,0
1566,app_141,167.0,16.123253493013973,98.65868263473054,215.40666666666667,1336.0,3.1300000000000003,226,16.123253493013973,0
1567,app_141,162.0,16.625514403292183,98.61213991769547,215.46666666666667,1296.0,3.13,218,16.625514403292183,0
1568,app_141,157.0,16.5567940552017,98.56104033970277,207.95333333333335,1256.0,3.13,229,16.5567940552017,0
1569,app_141,172.0,16.155038759689923,99.09302325581395,222.29333333333335,1376.0,3.13,219,16.155038759689923,0
1570,app_141,152.0,16.061951754385962,98.53618421052632,195.31333333333333,1216.0,3.13,220,16.061951754385962,0
1571,app_141,174.0,16.05699233716475,99.09674329501915,223.51333333333335,1392.0,3.13,238,16.056992337164754,0
1572,app_141,179.0,16.41247672253259,98.5963687150838,235.02666666666667,1432.0,3.13,255,16.41247672253259,0
1573,app_141,157.0,16.21656050955414,98.52441613588111,203.68,1256.0,3.13,210,16.21656050955414,0
1574,app_141,164.0,16.479674796747968,99.10569105691057,216.21333333333334,1312.0,3.1299999999999994,232,16.479674796747968,0
1575,app_141,169.0,16.099605522682445,99.09171597633136,217.66666666666669,1352.0,3.1300000000000003,233,16.099605522682445,0
1576,app_141,164.0,16.1849593495935,99.14024390243902,212.34666666666666,1312.0,3.1299999999999994,221,16.1849593495935,0
1577,app_141,183.0,16.818761384335154,99.02367941712204,246.22666666666666,1464.0,3.13,259,16.818761384335154,0
1578,app_141,183.0,16.111566484517304,98.55191256830601,235.87333333333333,1464.0,3.13,253,16.111566484517304,0
1579,app_141,174.0,15.804118773946358,98.57183908045977,219.99333333333334,1392.0,3.13,236,15.804118773946362,0
1580,app_141,176.0,15.327651515151514,98.57102272727273,215.81333333333333,1408.0,3.13,245,15.327651515151514,0
1581,app_141,160.0,15.0109375,98.46770833333333,192.14000000000001,1280.0,3.13,204,15.0109375,0
1582,app_141,177.0,15.51271186440678,99.105461393597,219.66,1416.0,3.13,252,15.51271186440678,0
1583,app_141,161.0,14.766045548654246,98.61697722567288,190.18666666666667,1288.0,3.13,226,14.766045548654246,0
1584,app_141,152.0,15.395833333333332,99.15460526315789,187.21333333333334,1216.0,3.13,218,15.395833333333332,0
1585,app_141,169.0,15.769723865877713,98.6267258382643,213.20666666666668,1352.0,3.1300000000000003,239,15.769723865877713,0
1586,app_141,148.0,15.277027027027026,99.20382882882882,180.88,1184.0,3.13,200,15.277027027027026,0
1587,app_141,160.0,15.663020833333334,99.25520833333334,200.48666666666668,1280.0,3.13,214,15.663020833333334,0
1588,app_141,173.0,14.982899807321772,98.71507707129093,207.36333333333334,1384.0,3.13,244,14.982899807321774,0
1589,app_141,154.0,15.252705627705627,98.52435064935065,187.91333333333333,1232.0,3.13,205,15.252705627705627,0
1590,app_141,161.0,16.040372670807454,99.21739130434783,206.6,1288.0,3.13,205,16.040372670807454,0
1591,app_141,177.0,15.57768361581921,98.65819209039547,220.58,1416.0,3.13,242,15.57768361581921,0
1592,app_141,170.0,15.594607843137256,98.64019607843136,212.08666666666667,1360.0,3.1300000000000003,247,15.594607843137256,0
